68	99	108	88	1	
50	79	97	80	1	
53	71	83	74	1	
51	87	100	87	1	
59	79	89	79	1	
67	103	113	87	1	
75	107	118	96	1	
66	113	117	92	1	
63	99	101	86	1	
64	99	104	88	1	
67	120	124	97	1	
67	115	129	101	1	
60	88	110	97	1	
66	113	122	96	1	
60	111	125	98	1	
63	96	100	92	1	
60	84	93	80	1	
68	106	115	98	1	
67	103	119	90	1	
52	79	100	78	1	
53	75	87	74	1	
84	116	122	99	1	
63	84	93	80	1	
67	95	104	87	1	
80	111	120	98	1	
49	77	93	75	1	
63	100	117	92	1	
52	66	82	72	1	
59	88	110	86	1	
63	81	93	83	1	
48	72	89	79	1	
75	99	109	87	1	
68	107	118	96	1	
49	75	100	78	1	
52	66	86	72	1	
68	102	111	87	1	
60	97	105	87	1	
53	79	100	81	1	
64	83	96	88	1	
64	83	104	88	1	
63	91	112	89	1	
75	108	114	94	1	
68	107	122	99	1	
68	102	111	91	1	
60	77	90	79	1	
60	102	111	94	1	
49	71	92	74	1	
63	112	119	98	1	
86	118	122	100	1	
59	88	101	83	1	
71	103	114	94	1	
47	67	82	65	1	
63	92	110	87	1	
75	99	113	92	1	
53	77	98	79	1	
60	83	96	85	1	
50	71	93	76	1	
63	99	113	87	1	
63	97	114	94	1	
74	106	114	97	1	
66	104	108	92	1	
47	75	97	80	1	
67	97	110	87	1	
53	87	104	88	1	
67	99	114	90	1	
49	83	96	81	1	
50	79	101	76	1	
46	71	84	74	1	
64	103	118	92	1	
64	95	108	85	1	
59	83	89	79	1	
55	72	81	71	1	
57	81	94	79	1	
63	95	104	92	1	
55	83	100	87	1	
76	116	122	96	1	
78	113	117	96	1	
68	89	102	87	1	
68	116	128	103	1	
64	98	102	91	1	
50	69	90	76	1	
70	115	129	101	1	
46	67	84	74	1	
60	111	120	98	1	
49	71	88	74	1	
56	87	108	85	1	
53	83	104	81	1	
57	97	105	90	1	
63	106	114	94	1	
55	72	85	75	1	
60	94	111	91	1	
72	111	120	102	1	
56	73	86	75	1	
71	108	124	98	1	
71	108	114	90	1	
51	64	77	71	1	
60	89	102	79	1	
59	81	93	79	1	
56	75	96	74	1	
52	73	93	79	1	
66	96	112	92	1	
59	77	90	75	1	
60	75	91	78	1	
53	95	108	88	1	
46	79	87	78	1	
53	88	101	83	1	
48	64	85	71	1	
68	89	98	83	1	
53	69	86	72	1	
50	75	101	80	1	
50	75	93	80	1	
59	95	105	86	1	
64	106	120	94	1	
71	107	109	92	1	
70	111	114	97	1	
52	63	80	70	1	
60	102	111	91	1	
47	71	89	80	1	
67	108	119	94	1	
50	84	93	76	1	
60	91	108	85	1	
60	79	96	85	1	
84	111	123	100	1	
59	81	101	83	1	
60	81	94	76	1	
59	73	97	79	1	
75	111	118	100	1	
67	103	124	94	1	
63	108	119	94	1	
57	77	90	76	1	
68	111	131	102	1	
60	95	108	88	1	
63	87	96	74	1	
59	87	104	85	1	
53	61	79	67	1	
80	115	125	102	1	
63	66	90	79	1	
57	81	102	83	1	
67	111	124	94	1	
52	77	93	79	1	
50	73	94	79	1	
50	77	98	79	1	
72	115	125	98	1	
60	97	114	94	1	
49	67	80	70	1	
67	107	118	92	1	
52	81	93	79	1	
63	109	117	100	1	
67	99	118	92	1	
52	73	90	75	1	
75	108	124	98	1	
50	66	86	76	1	
70	97	105	87	1	
68	106	120	98	1	
56	83	92	81	1	
53	73	90	79	1	
50	73	94	76	1	
70	100	117	92	1	
72	111	111	98	1	
49	67	88	70	1	
67	95	105	86	1	
66	100	108	85	1	
52	71	80	74	1	
79	107	118	92	1	
50	71	91	78	1	
63	107	118	100	1	
71	107	113	92	1	
63	103	118	96	1	
66	109	112	96	1	
75	108	114	98	1	
51	68	85	71	1	
67	99	101	83	1	
80	116	128	99	1	
71	107	118	92	1	
63	100	108	96	1	
